ClienteNo;Cidade;Idade;Sexo;EstadoCivil;NumeroFilhos;Escolaridade;Ocupacao;AreaAtuacao;NivelGerencial;TipoResidencia;CondicaoResidencia;ValorImovel;NoAutomoveis;Computador;PrimeiraCompra
1;7;36;1;1;0;2;6;7;2;2;2;2;0;2;58,36
2;5;47;1;3;0;3;6;6;6;3;3;5;3;1;23,98
3;1;56;2;3;0;4;3;8;6;3;4;4;2;1;20,66
4;8;59;2;3;3;3;6;9;5;3;2;3;1;2;37,13
5;5;32;2;1;1;2;3;5;2;1;1;2;0;1;74,55
6;4;54;2;3;0;4;4;5;5;3;3;3;1;2;34,65
7;6;44;2;2;1;3;2;2;3;2;2;2;0;2;44,27
8;8;43;2;3;1;3;3;2;5;2;2;3;1;2;21,76
9;4;31;1;1;1;3;5;6;3;2;2;2;1;2;61,94
10;5;41;1;2;0;3;6;5;4;2;2;3;1;2;60,18
11;10;37;2;2;0;2;4;8;2;2;2;2;0;2;65,5
12;4;48;1;3;1;3;3;9;6;3;4;4;1;2;13,35
13;3;42;2;3;2;2;3;6;3;2;2;3;1;1;43,66
14;4;58;2;3;2;3;3;6;6;3;3;3;1;2;22,33
15;9;36;2;1;0;2;3;4;3;2;2;2;0;2;60,77
16;8;30;2;1;0;1;7;0;2;2;2;2;1;2;87,59
17;7;46;2;3;0;4;3;7;5;3;3;4;1;2;48,22
18;8;33;1;2;1;2;7;0;2;2;2;2;0;2;84,56
19;5;46;1;2;0;3;5;4;5;3;2;4;1;1;39,49
20;8;36;2;3;0;3;0;4;2;2;2;2;0;2;62,86
21;3;36;2;3;1;3;1;1;3;2;2;3;1;2;45,06
22;7;21;2;1;1;0;6;3;2;1;1;1;0;2;99,16
23;5;51;2;3;1;3;0;2;5;3;3;4;1;2;38,87
24;9;45;1;2;2;3;3;0;4;2;2;2;0;2;48,99
25;3;35;2;1;0;2;3;6;2;1;1;1;0;2;90,74
26;9;21;1;1;0;1;0;2;2;1;2;1;0;1;113,84
27;7;26;1;1;0;1;7;0;2;1;2;1;0;2;97,87
28;6;36;1;3;1;3;3;0;3;3;2;3;1;2;44,95
29;2;48;2;2;2;3;3;6;3;3;2;2;1;2;39,63
30;7;43;2;1;2;3;1;6;3;3;2;3;1;1;72
31;3;28;2;1;0;2;3;9;2;2;2;2;0;1;73,23
32;2;26;2;1;0;1;2;2;2;1;2;1;0;2;66,34
33;7;34;2;1;0;2;1;8;3;2;2;3;1;1;34,37
34;5;45;2;3;0;2;4;2;3;3;2;2;1;1;67,48
35;6;49;2;3;0;3;3;2;5;3;3;5;1;2;23,26
36;2;29;2;1;1;3;2;3;2;2;2;2;0;1;77,59
37;6;52;2;3;0;4;3;0;6;3;4;3;3;2;38,65
38;8;31;2;1;0;3;2;6;3;2;2;2;1;2;51,46
39;10;41;2;3;0;3;6;8;4;3;2;3;1;2;25,82
40;8;52;2;3;1;3;6;9;5;3;3;4;2;1;36,48
41;2;41;2;3;1;4;2;5;5;3;3;3;2;2;24,96
42;9;48;2;4;0;3;6;4;6;3;3;4;1;2;23,7
43;5;39;1;1;2;2;3;4;3;2;2;2;1;2;56,31
44;8;29;2;1;0;2;4;8;3;2;2;2;1;2;53,2
45;6;45;2;3;0;3;0;5;5;3;2;3;1;2;26,96
46;8;64;2;4;0;4;4;1;7;3;4;5;3;2;0
47;2;42;2;2;0;3;2;5;4;3;2;2;1;1;76,53
48;9;45;1;3;1;2;3;1;4;3;3;2;1;2;28,54
49;9;46;2;3;0;3;3;6;5;3;3;3;2;1;15,63
50;4;31;1;3;2;3;2;4;4;3;3;3;1;2;53,29
51;9;30;1;3;0;2;2;3;3;3;2;2;1;2;63,8
52;2;56;2;3;1;3;0;5;4;2;2;3;1;2;50,82
53;4;46;1;3;0;3;3;7;4;2;3;3;1;2;33,64
54;4;24;1;1;0;1;3;1;2;2;1;2;0;1;97,22
55;10;43;1;3;1;3;3;5;3;2;2;2;1;1;43,87
56;5;24;2;1;0;0;4;6;2;1;1;1;0;2;121,42
57;2;29;2;1;0;2;2;8;3;2;2;1;0;2;59,22
58;9;40;1;1;1;3;2;2;3;2;3;2;1;2;62,35
59;10;57;2;3;0;4;4;8;7;3;4;5;3;1;12,4
60;9;51;1;3;2;3;6;2;6;3;3;3;2;2;25,99
61;2;53;1;3;2;4;3;8;6;3;3;3;1;2;25,61
62;9;60;1;3;0;4;3;4;6;3;4;3;2;2;21,86
63;4;36;1;1;2;2;3;3;2;1;1;1;0;1;60,03
64;4;38;2;3;2;3;6;8;3;2;2;2;1;2;57,74
65;10;45;1;3;0;3;2;4;5;3;3;3;1;2;34,24
66;7;36;2;1;0;2;3;1;3;2;2;2;0;2;77,48
67;4;39;2;3;0;3;6;4;4;3;3;4;1;2;58,11
68;9;33;2;1;1;2;2;4;2;2;2;2;1;2;55,69
69;9;29;2;1;0;2;7;0;2;2;2;1;0;1;67,69
70;5;27;2;1;0;2;4;5;3;2;2;2;1;2;85,81
71;10;33;2;2;0;3;6;0;3;3;2;2;1;1;55,4
72;4;33;1;1;1;2;2;7;2;2;2;2;0;2;87,81
73;5;33;1;1;0;2;3;1;3;2;2;2;1;2;68,85
74;5;27;2;1;2;2;7;0;2;1;2;1;0;2;100,79
75;4;52;2;3;0;4;3;6;5;3;3;4;2;2;30,44
76;8;44;1;3;2;4;2;1;5;3;3;3;1;2;30,34
77;2;37;2;1;0;2;3;4;2;2;2;2;0;2;73,43
78;4;45;2;3;3;3;4;6;5;3;2;4;2;2;23,88
79;6;35;2;1;0;3;2;8;2;2;2;2;0;2;74,51
80;4;25;1;1;2;1;6;8;2;1;2;1;0;2;95,43
81;7;37;2;3;0;3;3;2;4;3;2;3;1;2;30,71
82;2;43;2;1;3;3;5;5;4;3;3;2;1;2;29,18
83;8;43;1;3;0;3;2;5;4;2;2;2;1;2;17,57
84;4;42;1;2;0;3;3;6;4;2;2;3;1;2;45,42
85;9;40;2;3;1;3;3;4;3;2;2;3;1;2;33,93
86;2;31;2;1;0;3;7;0;2;2;2;2;1;1;77,29
87;8;23;2;1;2;1;4;8;2;1;1;1;0;2;83,76
88;4;27;2;1;0;1;7;0;2;1;2;1;0;2;91,31
89;2;45;2;3;0;3;1;8;4;3;2;3;2;2;31,74
90;2;50;2;2;2;3;3;7;3;2;2;2;1;2;48,84
91;8;48;1;3;1;3;1;1;4;3;3;3;1;2;55,33
92;7;50;2;3;0;3;5;4;4;3;2;3;1;1;50,38
93;10;35;1;3;2;3;5;1;3;2;2;2;0;2;55,28
94;4;34;2;2;2;3;2;2;3;2;2;2;1;2;45,1
95;9;37;2;1;0;2;3;9;3;2;2;2;1;2;49,28
96;2;42;1;1;3;2;2;4;4;3;2;3;1;2;42,21
97;10;34;2;2;0;3;4;4;3;3;2;2;1;2;58,07
98;8;31;1;1;0;2;6;3;2;2;2;2;0;2;69,64
99;7;37;2;1;0;2;3;5;3;3;2;2;0;2;55,94
100;9;19;2;1;0;0;7;0;2;1;1;1;0;1;124,1
101;2;50;1;3;0;3;3;7;4;3;2;4;1;2;43,8
102;10;43;2;3;0;3;3;6;5;3;2;3;1;1;37,08
103;7;31;2;1;3;2;2;7;3;2;2;2;0;2;58,52
104;9;38;2;3;1;2;1;8;5;3;2;2;1;2;30,46
105;4;30;2;1;1;1;3;7;2;1;1;1;0;2;102,61
106;4;45;2;3;0;3;3;8;4;3;2;3;0;2;37,49
107;9;26;2;1;1;1;0;1;2;1;2;1;0;2;98,82
108;5;23;2;1;0;1;4;4;2;1;1;2;0;2;100,58
109;4;43;1;1;0;3;4;4;3;2;2;2;0;1;51,61
110;5;33;2;1;1;1;6;4;2;2;2;2;1;2;71,95
111;4;58;2;4;1;4;4;2;7;3;3;5;2;2;17,09
112;2;34;2;2;0;2;2;5;3;2;2;2;1;2;43,55
113;4;41;2;2;2;3;3;2;4;3;3;4;1;2;33,9
114;4;39;2;3;1;3;3;4;3;2;3;2;1;2;31,2
115;7;35;2;1;0;2;2;6;2;2;2;2;1;2;78,14
116;6;33;1;1;1;0;7;0;2;1;2;2;0;1;93,24
117;7;41;2;3;0;3;2;7;3;2;2;3;1;2;41,49
118;4;47;2;1;1;4;4;6;4;2;3;2;1;2;51,55
119;8;33;1;1;0;1;2;6;2;2;1;1;0;2;82,51
120;6;36;2;1;2;2;3;1;2;2;2;1;1;1;61,18
121;2;49;2;3;1;3;3;9;6;3;4;4;2;2;18,23
122;2;26;2;1;0;2;6;2;3;2;2;2;0;2;56,26
123;9;41;2;3;0;3;3;4;5;3;3;4;2;2;34,89
124;5;28;2;1;0;1;3;8;2;1;1;2;0;2;76,65
125;6;37;2;3;0;3;3;2;3;3;2;2;1;1;37,03
126;3;53;1;3;0;3;1;5;4;2;2;3;1;2;52,18
127;7;48;1;3;0;3;3;8;5;3;3;3;3;2;26,24
128;2;37;2;3;1;3;3;5;4;3;2;2;1;2;39,8
129;8;24;2;1;0;0;2;8;2;1;2;1;0;2;86,42
130;4;25;2;1;1;1;7;0;2;2;2;1;0;2;66,22
131;3;34;1;3;1;3;3;1;4;3;3;3;1;2;41,2
132;6;34;2;1;0;1;7;0;2;2;2;2;0;2;89,11
133;9;35;2;1;0;3;6;5;3;2;2;2;1;2;72,98
134;7;55;2;4;0;4;4;2;7;3;4;4;2;1;0
135;9;31;1;1;0;2;6;5;2;2;2;1;0;2;98,43
136;6;37;1;2;1;2;3;9;3;3;2;2;1;1;46,65
137;5;54;1;4;0;4;4;7;7;3;3;3;3;1;20,46
138;2;25;2;1;0;2;5;2;2;1;2;2;0;2;106,98
